サンプリング周波数,1000




Fx,Fy,Fz,Mx,My,Mz,同期信号,ExtIn1,ExtIn2
7.629628E-1,0.000000E+0,-3.051851E-1,5.493332E-1,1.205481E+0,7.629627E-2,1,1,1
7.629628E-1,1.525925E-1,-7.629628E-1,5.951110E-1,1.190222E+0,4.577776E-2,1,1,1
6.103702E-1,-6.103702E-1,-3.051851E-1,5.035554E-1,1.205481E+0,0.000000E+0,1,1,1
3.051851E-1,-1.525925E-1,-1.525925E-1,5.798517E-1,1.098666E+0,3.051851E-2,1,1,1
3.051851E-1,-3.051851E-1,-9.155553E-1,6.561480E-1,1.159703E+0,-1.525925E-2,1,1,1
6.103702E-1,0.000000E+0,-1.220740E+0,6.103702E-1,1.190222E+0,4.577776E-2,1,1,1
9.155553E-1,-6.103702E-1,-4.577776E-1,5.798517E-1,1.083407E+0,7.629627E-2,1,1,1
3.051851E-1,-1.525925E-1,-7.629628E-1,5.951110E-1,1.144444E+0,0.000000E+0,1,1,1
6.103702E-1,-1.525925E-1,0.000000E+0,5.951110E-1,1.037629E+0,3.051851E-2,1,1,1
7.629628E-1,-1.525925E-1,-7.629628E-1,6.103702E-1,1.129185E+0,0.000000E+0,1,1,1
7.629628E-1,1.525925E-1,-6.103702E-1,6.408887E-1,1.037629E+0,1.525925E-2,1,1,1
4.577776E-1,0.000000E+0,-6.103702E-1,5.798517E-1,1.083407E+0,4.577776E-2,1,1,1
0.000000E+0,-1.525925E-1,-1.068148E+0,5.340739E-1,1.129185E+0,4.577776E-2,1,1,1
4.577776E-1,-1.525925E-1,-3.051851E-1,5.645924E-1,1.098666E+0,0.000000E+0,1,1,1
7.629628E-1,0.000000E+0,-1.068148E+0,5.188147E-1,1.174963E+0,-3.051851E-2,1,1,1
4.577776E-1,0.000000E+0,-7.629628E-1,6.103702E-1,1.098666E+0,6.103702E-2,1,1,1
6.103702E-1,1.525925E-1,-7.629628E-1,6.103702E-1,1.052889E+0,0.000000E+0,1,1,1
6.103702E-1,1.525925E-1,-7.629628E-1,5.798517E-1,1.083407E+0,4.577776E-2,1,1,1
1.525925E-1,0.000000E+0,-3.051851E-1,5.188147E-1,1.113926E+0,3.051851E-2,1,1,1
4.577776E-1,-1.525925E-1,-9.155553E-1,5.340739E-1,1.083407E+0,3.051851E-2,1,1,1
6.103702E-1,-1.525925E-1,-7.629628E-1,5.188147E-1,9.918516E-1,0.000000E+0,1,1,1
4.577776E-1,-1.525925E-1,-7.629628E-1,5.645924E-1,1.159703E+0,4.577776E-2,1,1,1
6.103702E-1,0.000000E+0,-7.629628E-1,6.714072E-1,1.113926E+0,-1.525925E-2,1,1,1
6.103702E-1,0.000000E+0,-6.103702E-1,4.730369E-1,1.068148E+0,3.051851E-2,1,1,1
7.629628E-1,0.000000E+0,-1.068148E+0,5.188147E-1,1.113926E+0,0.000000E+0,1,1,1
1.068148E+0,0.000000E+0,-7.629628E-1,6.103702E-1,1.083407E+0,1.525925E-2,1,1,1
7.629628E-1,0.000000E+0,-6.103702E-1,6.256294E-1,1.007111E+0,1.525925E-2,1,1,1
3.051851E-1,-1.525925E-1,-1.525925E-1,5.645924E-1,1.022370E+0,3.051851E-2,1,1,1
3.051851E-1,-4.577776E-1,-9.155553E-1,5.035554E-1,1.052889E+0,4.577776E-2,1,1,1
4.577776E-1,-1.525925E-1,-1.373333E+0,4.119999E-1,1.037629E+0,4.577776E-2,1,1,1
4.577776E-1,-1.525925E-1,-1.373333E+0,6.408887E-1,1.022370E+0,6.103702E-2,1,1,1
4.577776E-1,1.525925E-1,-6.103702E-1,5.645924E-1,1.037629E+0,0.000000E+0,1,1,1
7.629628E-1,-1.525925E-1,-6.103702E-1,5.951110E-1,1.022370E+0,6.103702E-2,1,1,1
1.525925E-1,0.000000E+0,-6.103702E-1,5.798517E-1,1.113926E+0,3.051851E-2,1,1,1
3.051851E-1,3.051851E-1,-7.629628E-1,5.493332E-1,1.068148E+0,0.000000E+0,1,1,1
3.051851E-1,1.525925E-1,-9.155553E-1,5.645924E-1,1.068148E+0,0.000000E+0,1,1,1
3.051851E-1,-1.525925E-1,-4.577776E-1,5.493332E-1,1.083407E+0,7.629627E-2,1,1,1
4.577776E-1,0.000000E+0,-7.629628E-1,5.951110E-1,9.918516E-1,7.629627E-2,1,1,1
3.051851E-1,1.525925E-1,-1.373333E+0,4.730369E-1,1.037629E+0,4.577776E-2,1,1,1
1.525925E-1,3.051851E-1,-4.577776E-1,4.730369E-1,1.068148E+0,3.051851E-2,1,1,1
4.577776E-1,0.000000E+0,-1.068148E+0,4.119999E-1,9.918516E-1,6.103702E-2,1,1,1
7.629628E-1,-1.525925E-1,-6.103702E-1,5.035554E-1,9.155553E-1,3.051851E-2,1,1,1
1.525925E-1,0.000000E+0,-1.373333E+0,5.340739E-1,9.918516E-1,4.577776E-2,1,1,1
3.051851E-1,0.000000E+0,-1.068148E+0,6.714072E-1,9.918516E-1,1.525925E-2,1,1,1
0.000000E+0,0.000000E+0,-7.629628E-1,5.798517E-1,9.765923E-1,7.629627E-2,1,1,1
7.629628E-1,1.525925E-1,-1.220740E+0,4.425184E-1,9.460738E-1,6.103702E-2,1,1,1
3.051851E-1,3.051851E-1,-1.220740E+0,6.714072E-1,9.918516E-1,0.000000E+0,1,1,1
4.577776E-1,1.525925E-1,-1.220740E+0,5.798517E-1,9.765923E-1,7.629627E-2,1,1,1
3.051851E-1,-1.525925E-1,-1.525925E-1,5.798517E-1,1.052889E+0,0.000000E+0,1,1,1
0.000000E+0,0.000000E+0,-1.220740E+0,6.103702E-1,9.155553E-1,0.000000E+0,1,1,1
3.051851E-1,3.051851E-1,-1.373333E+0,5.645924E-1,9.460738E-1,6.103702E-2,1,1,1
-1.525925E-1,0.000000E+0,-1.220740E+0,3.967406E-1,8.392590E-1,7.629627E-2,1,1,1
3.051851E-1,1.525925E-1,-9.155553E-1,5.493332E-1,1.022370E+0,7.629627E-2,1,1,1
-1.525925E-1,0.000000E+0,-1.220740E+0,5.035554E-1,9.918516E-1,3.051851E-2,1,1,1
1.525925E-1,1.525925E-1,-9.155553E-1,4.119999E-1,9.918516E-1,0.000000E+0,1,1,1
1.525925E-1,0.000000E+0,-9.155553E-1,4.882962E-1,9.918516E-1,4.577776E-2,1,1,1
1.525925E-1,1.525925E-1,-4.577776E-1,4.577776E-1,8.850368E-1,6.103702E-2,1,1,1
1.525925E-1,0.000000E+0,-1.373333E+0,5.493332E-1,8.545183E-1,7.629627E-2,1,1,1
0.000000E+0,0.000000E+0,-9.155553E-1,5.188147E-1,8.392590E-1,-1.525925E-2,1,1,1
0.000000E+0,0.000000E+0,-1.068148E+0,5.035554E-1,9.155553E-1,6.103702E-2,1,1,1
4.577776E-1,0.000000E+0,-1.068148E+0,5.035554E-1,7.324442E-1,6.103702E-2,1,1,1
0.000000E+0,3.051851E-1,-1.678518E+0,5.951110E-1,8.087405E-1,1.525925E-2,1,1,1
0.000000E+0,0.000000E+0,-1.220740E+0,5.340739E-1,9.460738E-1,3.051851E-2,1,1,1
1.525925E-1,0.000000E+0,-7.629628E-1,4.882962E-1,8.697775E-1,1.525925E-2,1,1,1
3.051851E-1,0.000000E+0,-7.629628E-1,5.188147E-1,8.239998E-1,1.525925E-2,1,1,1
3.051851E-1,-3.051851E-1,-6.103702E-1,4.272591E-1,8.545183E-1,9.155553E-2,1,1,1
0.000000E+0,6.103702E-1,-1.068148E+0,4.730369E-1,8.545183E-1,6.103702E-2,1,1,1
0.000000E+0,4.577776E-1,-1.373333E+0,4.730369E-1,8.087405E-1,3.051851E-2,1,1,1
1.525925E-1,3.051851E-1,-9.155553E-1,6.714072E-1,7.934812E-1,3.051851E-2,1,1,1
3.051851E-1,0.000000E+0,-4.577776E-1,4.272591E-1,8.392590E-1,0.000000E+0,1,1,1
0.000000E+0,0.000000E+0,-1.525925E-1,5.188147E-1,8.087405E-1,3.051851E-2,1,1,1
0.000000E+0,0.000000E+0,-7.629628E-1,3.662221E-1,8.392590E-1,3.051851E-2,1,1,1
1.525925E-1,1.525925E-1,-1.220740E+0,5.035554E-1,8.239998E-1,7.629627E-2,1,1,1
-3.051851E-1,-1.525925E-1,-6.103702E-1,4.272591E-1,8.392590E-1,4.577776E-2,1,1,1
0.000000E+0,0.000000E+0,-1.373333E+0,4.882962E-1,7.934812E-1,3.051851E-2,1,1,1
0.000000E+0,-1.525925E-1,-7.629628E-1,3.967406E-1,8.545183E-1,6.103702E-2,1,1,1
0.000000E+0,-3.051851E-1,-3.051851E-1,3.814814E-1,8.087405E-1,0.000000E+0,1,1,1
3.051851E-1,0.000000E+0,-9.155553E-1,4.730369E-1,7.324442E-1,3.051851E-2,1,1,1
0.000000E+0,0.000000E+0,-1.068148E+0,3.814814E-1,7.782220E-1,1.525925E-2,1,1,1
-1.525925E-1,1.525925E-1,-9.155553E-1,5.340739E-1,8.239998E-1,4.577776E-2,1,1,1
0.000000E+0,1.525925E-1,-6.103702E-1,4.272591E-1,7.934812E-1,3.051851E-2,1,1,1
-1.525925E-1,4.577776E-1,-1.068148E+0,5.798517E-1,8.087405E-1,1.068148E-1,1,1,1
0.000000E+0,0.000000E+0,-1.525925E-1,4.425184E-1,7.629628E-1,1.525925E-2,1,1,1
-1.525925E-1,1.525925E-1,-4.577776E-1,4.577776E-1,7.782220E-1,0.000000E+0,1,1,1
1.525925E-1,3.051851E-1,-3.051851E-1,4.119999E-1,8.087405E-1,1.525925E-2,1,1,1
1.525925E-1,3.051851E-1,-9.155553E-1,4.425184E-1,7.324442E-1,6.103702E-2,1,1,1
-4.577776E-1,3.051851E-1,-9.155553E-1,3.357036E-1,7.629628E-1,6.103702E-2,1,1,1
-3.051851E-1,0.000000E+0,-4.577776E-1,4.425184E-1,7.324442E-1,0.000000E+0,1,1,1
0.000000E+0,0.000000E+0,-4.577776E-1,4.730369E-1,6.408887E-1,3.051851E-2,1,1,1
-1.525925E-1,3.051851E-1,-3.051851E-1,5.035554E-1,6.714072E-1,4.577776E-2,1,1,1
-3.051851E-1,1.525925E-1,-4.577776E-1,4.272591E-1,7.171850E-1,3.051851E-2,1,1,1
-4.577776E-1,4.577776E-1,-1.068148E+0,3.967406E-1,6.561480E-1,7.629627E-2,1,1,1
-1.525925E-1,6.103702E-1,-1.525925E-1,4.882962E-1,6.866665E-1,6.103702E-2,1,1,1
-3.051851E-1,0.000000E+0,-3.051851E-1,4.425184E-1,7.324442E-1,3.051851E-2,1,1,1
0.000000E+0,1.525925E-1,-3.051851E-1,3.814814E-1,5.645924E-1,0.000000E+0,1,1,1
-3.051851E-1,1.525925E-1,-9.155553E-1,4.119999E-1,7.019257E-1,4.577776E-2,1,1,1
0.000000E+0,3.051851E-1,-7.629628E-1,3.967406E-1,7.171850E-1,6.103702E-2,1,1,1
0.000000E+0,0.000000E+0,-4.577776E-1,4.272591E-1,7.324442E-1,3.051851E-2,1,1,1
-1.525925E-1,3.051851E-1,0.000000E+0,5.035554E-1,6.103702E-1,0.000000E+0,1,1,1
0.000000E+0,1.525925E-1,-1.525925E-1,5.035554E-1,6.256294E-1,6.103702E-2,1,1,1
0.000000E+0,0.000000E+0,0.000000E+0,4.882962E-1,5.645924E-1,9.155553E-2,1,1,1
0.000000E+0,3.051851E-1,-3.051851E-1,4.272591E-1,6.103702E-1,4.577776E-2,1,1,1
-4.577776E-1,-1.525925E-1,0.000000E+0,4.119999E-1,6.408887E-1,0.000000E+0,1,1,1
-3.051851E-1,0.000000E+0,-3.051851E-1,4.119999E-1,6.408887E-1,9.155553E-2,1,1,1
-3.051851E-1,0.000000E+0,-4.577776E-1,4.577776E-1,7.019257E-1,4.577776E-2,1,1,1
0.000000E+0,4.577776E-1,1.525925E-1,3.814814E-1,6.256294E-1,7.629627E-2,1,1,1
-3.051851E-1,0.000000E+0,-4.577776E-1,3.662221E-1,6.103702E-1,6.103702E-2,1,1,1
-4.577776E-1,3.051851E-1,-6.103702E-1,3.204443E-1,6.866665E-1,0.000000E+0,1,1,1
-1.525925E-1,0.000000E+0,0.000000E+0,4.425184E-1,5.340739E-1,0.000000E+0,1,1,1
-1.525925E-1,4.577776E-1,0.000000E+0,3.204443E-1,7.019257E-1,6.103702E-2,1,1,1
-1.525925E-1,1.525925E-1,3.051851E-1,3.357036E-1,5.951110E-1,1.525925E-2,1,1,1
-1.525925E-1,3.051851E-1,0.000000E+0,3.967406E-1,6.408887E-1,7.629627E-2,1,1,1
-4.577776E-1,3.051851E-1,-4.577776E-1,4.119999E-1,5.493332E-1,9.155553E-2,1,1,1
-1.525925E-1,0.000000E+0,-1.525925E-1,4.272591E-1,5.340739E-1,3.051851E-2,1,1,1
-1.525925E-1,0.000000E+0,-3.051851E-1,3.357036E-1,5.035554E-1,0.000000E+0,1,1,1
0.000000E+0,3.051851E-1,-1.525925E-1,5.188147E-1,5.493332E-1,4.577776E-2,1,1,1
0.000000E+0,4.577776E-1,0.000000E+0,3.967406E-1,5.951110E-1,0.000000E+0,1,1,1
-4.577776E-1,0.000000E+0,-3.051851E-1,3.509628E-1,5.951110E-1,0.000000E+0,1,1,1
-1.525925E-1,0.000000E+0,-6.103702E-1,3.051851E-1,5.035554E-1,3.051851E-2,1,1,1
-4.577776E-1,6.103702E-1,0.000000E+0,4.119999E-1,4.425184E-1,3.051851E-2,1,1,1
-1.525925E-1,1.525925E-1,0.000000E+0,3.967406E-1,4.730369E-1,3.051851E-2,1,1,1
-7.629628E-1,3.051851E-1,1.525925E-1,3.204443E-1,5.188147E-1,3.051851E-2,1,1,1
-1.525925E-1,3.051851E-1,1.525925E-1,4.730369E-1,5.340739E-1,4.577776E-2,1,1,1
-3.051851E-1,3.051851E-1,-6.103702E-1,4.272591E-1,5.188147E-1,3.051851E-2,1,1,1
-1.525925E-1,0.000000E+0,-1.525925E-1,3.967406E-1,4.882962E-1,0.000000E+0,1,1,1
-7.629628E-1,1.525925E-1,0.000000E+0,3.051851E-1,5.493332E-1,4.577776E-2,1,1,1
-3.051851E-1,1.525925E-1,-6.103702E-1,4.425184E-1,5.035554E-1,3.051851E-2,1,1,1
-1.525925E-1,3.051851E-1,-1.525925E-1,3.662221E-1,4.272591E-1,3.051851E-2,1,1,1
0.000000E+0,0.000000E+0,0.000000E+0,2.288888E-1,4.425184E-1,1.525925E-2,1,1,1
-6.103702E-1,-1.525925E-1,-1.525925E-1,4.119999E-1,5.035554E-1,1.525925E-2,1,1,1
-1.525925E-1,0.000000E+0,-7.629628E-1,3.051851E-1,3.357036E-1,3.051851E-2,1,1,1
-6.103702E-1,1.525925E-1,-4.577776E-1,3.814814E-1,4.882962E-1,7.629627E-2,1,1,1
-4.577776E-1,1.525925E-1,-3.051851E-1,3.051851E-1,4.577776E-1,4.577776E-2,1,1,1
-4.577776E-1,4.577776E-1,-3.051851E-1,4.577776E-1,4.272591E-1,7.629627E-2,1,1,1
-4.577776E-1,1.525925E-1,0.000000E+0,3.967406E-1,4.425184E-1,4.577776E-2,1,1,1
-4.577776E-1,0.000000E+0,0.000000E+0,3.662221E-1,4.882962E-1,0.000000E+0,1,1,1
-6.103702E-1,3.051851E-1,-4.577776E-1,3.662221E-1,4.577776E-1,3.051851E-2,1,1,1
-3.051851E-1,0.000000E+0,3.051851E-1,3.509628E-1,5.188147E-1,3.051851E-2,1,1,1
-6.103702E-1,-1.525925E-1,0.000000E+0,3.662221E-1,5.188147E-1,1.525925E-2,1,1,1
-3.051851E-1,1.525925E-1,-7.629628E-1,3.662221E-1,4.882962E-1,3.051851E-2,1,1,1
-1.525925E-1,1.525925E-1,-3.051851E-1,4.882962E-1,3.509628E-1,1.525925E-2,1,1,1
-1.525925E-1,0.000000E+0,0.000000E+0,2.746666E-1,3.509628E-1,7.629627E-2,1,1,1
-6.103702E-1,4.577776E-1,-6.103702E-1,3.509628E-1,4.425184E-1,4.577776E-2,1,1,1
-1.525925E-1,4.577776E-1,-1.525925E-1,3.357036E-1,3.662221E-1,1.525925E-2,1,1,1
-4.577776E-1,1.525925E-1,-1.525925E-1,2.899258E-1,4.425184E-1,4.577776E-2,1,1,1
-3.051851E-1,4.577776E-1,-1.525925E-1,3.509628E-1,3.814814E-1,4.577776E-2,1,1,1
-1.525925E-1,1.525925E-1,-3.051851E-1,3.051851E-1,3.204443E-1,0.000000E+0,1,1,1
-3.051851E-1,4.577776E-1,-9.155553E-1,3.967406E-1,4.730369E-1,3.051851E-2,1,1,1
-3.051851E-1,0.000000E+0,-1.525925E-1,3.051851E-1,4.882962E-1,1.525925E-2,1,1,1
-3.051851E-1,3.051851E-1,-4.577776E-1,3.357036E-1,4.272591E-1,3.051851E-2,1,1,1
-6.103702E-1,1.525925E-1,-1.525925E-1,3.051851E-1,5.035554E-1,1.525925E-2,1,1,1
-4.577776E-1,0.000000E+0,0.000000E+0,3.357036E-1,4.119999E-1,1.525925E-2,1,1,1
0.000000E+0,0.000000E+0,-4.577776E-1,3.051851E-1,3.967406E-1,0.000000E+0,1,1,1
-4.577776E-1,1.525925E-1,-1.220740E+0,4.119999E-1,4.577776E-1,0.000000E+0,1,1,1
